country,trade.balance,exports,imports,report.date,trade.status
Afghanistan,720400000,792400000,7.20E+07,12/31/2014,Great
Albania,-17700000,51300000,6.90E+07,12/31/2014,Bad
Algeria,-2011900000,2.62E+09,4628900000,12/31/2014,Bad
Andorra,2600000,3800000,1200000,12/31/2014,Great
Angola,-3680700000,2039100000,5719800000,12/31/2014,Bad
Anguilla,57900000,63200000,5300000,12/31/2014,Great
Antigua and Barbuda,208800000,216600000,7800000,12/31/2014,Great
Argentina,6582600000,10825700000,4243100000,12/31/2014,Great
Armenia,-35800000,60500000,96300000,12/31/2014,Bad
Aruba,1297600000,1357900000,60300000,12/31/2014,Great
Australia,1.59E+10,26581700000,10671700000,12/31/2014,Great
Austria,-6944100000,3824800000,10768900000,12/31/2014,Bad
Azerbaijan,-61600000,950300000,1011900000,12/31/2014,Bad
Bahamas,2792500000,3324400000,531900000,12/31/2014,Great
Bahrain,94400000,1059800000,965400000,12/31/2014,Ok
Bangladesh,-4164200000,1113400000,5277600000,12/31/2014,Bad
Barbados,488800000,539900000,51100000,12/31/2014,Great
Belarus,-3.80E+07,93400000,131400000,12/31/2014,Bad
Belgium,13904300000,34789500000,20885200000,12/31/2014,Good
Belize,139900000,236700000,96800000,12/31/2014,Great
Benin,775600000,7.81E+08,5400000,12/31/2014,Great
Bermuda,609800000,646400000,36600000,12/31/2014,Great
Bhutan,2100000,2400000,3.00E+05,12/31/2014,Great
Bolivia,-924800000,1.01E+09,1934800000,12/31/2014,Bad
Bosnia and Herzegovina,-37200000,46100000,83300000,12/31/2014,Bad
Botswana,-265100000,52900000,3.18E+08,12/31/2014,Bad
Brazil,11892800000,42429400000,30536600000,12/31/2014,Good
British Indian Ocean Territories,-11900000,2100000,1.40E+07,12/31/2014,Bad
British Virgin Islands,375900000,386700000,10800000,12/31/2014,Great
Brunei,517400000,549200000,31800000,12/31/2014,Great
Bulgaria,-245600000,358800000,604400000,12/31/2014,Bad
Burkina Faso,66100000,72300000,6200000,12/31/2014,Great
Burma,2.00E+05,92900000,92700000,12/31/2014,Ok
Burundi,1200000,5600000,4400000,12/31/2014,Good
Cabo Verde,5600000,7300000,1700000,12/31/2014,Great
Cambodia,-2518800000,327900000,2846700000,12/31/2014,Bad
Cameroon,115100000,301100000,1.86E+08,12/31/2014,Good
Canada,-35377200000,3.12E+11,3.48E+11,12/31/2014,Bad
Cayman Islands,7.90E+08,814100000,24100000,12/31/2014,Great
Central African Republic,30900000,32300000,1400000,12/31/2014,Great
Chad,-2262100000,66500000,2328600000,12/31/2014,Bad
Chile,7.04E+09,16514600000,9475600000,12/31/2014,Good
China,-3.43E+11,1.24E+11,4.67E+11,12/31/2014,Bad
Christmas Island,-2100000,2.00E+05,2300000,12/31/2014,Bad
Cocos (Keeling) Islands,2800000,6.00E+06,3200000,12/31/2014,Good
Colombia,1806900000,20106600000,18299700000,12/31/2014,Ok
Comoros,1400000,3500000,2100000,12/31/2014,Good
Congo (Brazzaville),-102700000,321500000,424200000,12/31/2014,Bad
Congo (Kinshasa),27400000,181800000,154400000,12/31/2014,Good
Cook Islands,4700000,5500000,8.00E+05,12/31/2014,Great
Costa Rica,-2535800000,6964100000,9499900000,12/31/2014,Bad
Cote d'Ivoire,-953400000,239100000,1192500000,12/31/2014,Bad
Croatia,-1.23E+08,339600000,462600000,12/31/2014,Bad
Cuba,299100000,299100000,0,12/31/2014,Good
Curacao,242600000,611800000,369200000,12/31/2014,Good
Cyprus,87700000,151700000,6.40E+07,12/31/2014,Great
Czech Republic,-2042400000,2302400000,4344800000,12/31/2014,Bad
Denmark,-5.14E+09,2360700000,7503700000,12/31/2014,Bad
Djibouti,99100000,110900000,11800000,12/31/2014,Great
Dominica,62700000,64200000,1500000,12/31/2014,Great
Dominican Republic,3402400000,7922100000,4519700000,12/31/2014,Good
Ecuador,-2.69E+09,8164400000,10856400000,12/31/2014,Bad
Egypt,5062400000,6472600000,1410200000,12/31/2014,Great
El Salvador,908700000,3304400000,2395700000,12/31/2014,Good
Equatorial Guinea,319900000,574800000,254900000,12/31/2014,Great
Eritrea,5200000,5300000,1.00E+05,12/31/2014,Great
Estonia,-254100000,308500000,562600000,12/31/2014,Bad
Ethiopia,1462200000,1.67E+09,206800000,12/31/2014,Great
Falkland Islands (Islas Malvinas),-11900000,7800000,19700000,12/31/2014,Bad
Faroe Islands,-135700000,2400000,138100000,12/31/2014,Bad
Fiji,-104200000,79500000,183700000,12/31/2014,Bad
Finland,-2865400000,2150200000,5015600000,12/31/2014,Bad
France,-15573200000,31300800000,4.69E+10,12/31/2014,Bad
French Guiana,280600000,2.81E+08,4.00E+05,12/31/2014,Great
French Polynesia,89400000,129500000,40100000,12/31/2014,Great
French Southern and Antarctic Lands,7800000,8300000,5.00E+05,12/31/2014,Great
Gabon,-380700000,417300000,7.98E+08,12/31/2014,Bad
Gambia,41200000,41500000,3.00E+05,12/31/2014,Great
Gaza Strip Administered by Israel,0,2.00E+05,2.00E+05,12/31/2014,Ok
Georgia,235500000,627500000,3.92E+08,12/31/2014,Good
Germany,-73896300000,49363300000,1.23E+11,12/31/2014,Bad
Ghana,914600000,1186200000,271600000,12/31/2014,Great
Gibraltar,2530700000,2530900000,2.00E+05,12/31/2014,Great
Greece,-274800000,773200000,1.05E+09,12/31/2014,Bad
