
ANNUAL REVISION FOR 2003

PART B:      NOT SEASONALLY ADJUSTED

EXHIBIT 13.  EXPORTS, IMPORTS AND BALANCE OF GOODS BY SELECTED
             COUNTRIES AND GEOGRAPHIC AREAS, -- ANNUAL 2003

(In millions of dollars. Details may not equal totals due to rounding.
(-) Represents zero or less then half unit of measure.  (X) Not applicable.
 
                                   January - December, Cumulative
 
                                            Trade
              Country                      Balance                 Rank
Vietnam                                           1,323.8                     53
Wallis and Futuna                                     0.6                    218
West Bank Administered by Israel                      0.5                    219
Western Sahara                                         (-)                   228
Western Samoa                                        10.5                    181
Zambia                                               19.5                    171
Zimbabwe                                             41.7                    142
Unidentified                                        185.7                     (X)
North America                                   267,335.5                     (X)
Western Europe                                  165,956.8                     (X)
Euro Area                                       113,131.8                     (X)
European Union (EU)                             151,730.9                     (X)
European Free Trade Association                  10,380.3                     (X)
Eastern Europe                                    7,105.8                     (X)
Former Soviet Republics                           4,094.7                     (X)
Organization for Economic
  Cooperation & Develop-
  ment (OECD) in Europe                         165,070.6                     (X)
Pacific Rim Countries                           188,448.7                     (X)
Asia -- Near East                                19,362.4                     (X)
Asia -- (NICS)                                   71,601.1                     (X)
Asia -- South                                     6,280.5                     (X)
Assoc. of South East Asia
  Nations (ASEAN)                                45,244.0                     (X)
APEC                                            469,749.5                     (X)
South/Central America                            51,946.2                     (X)
Twenty Latin American Republics                 142,278.6                     (X)
Central American Common Market                   10,825.8                     (X)
Latin American Free Trade
  Association                                   124,500.1                     (X)
North Atlantic Treaty Organization
  (NATO) Allies                                 331,512.6                     (X)
Organization of Petroleum Exporting
  Countries (OPEC)                               17,279.4                     (X)
Unidentified                                        185.7                     (X)
____________________________________
 
 
              Country                  Imports Customs             Rank
 
 
Total, BOP Basis                              1,260,673.8                     (X)
Net Adjustments                                   3,552.6                     (X)
Total, Census Basis                           1,257,121.3                     (X)
 
Afghanistan                                          56.1                    130
Albania                                               4.4                    177
Algeria                                           4,748.4                     33
Andorra                                               0.3                    215
Angola                                            4,267.1                     40
Anguilla                                              1.3                    198
Antigua and Barbuda                                  12.8                    155
Argentina                                         3,169.8                     47
Armenia                                              37.6                    137
Aruba                                               954.5                     67
Australia                                         6,413.7                     30
Austria                                           4,492.3                     37
Azerbaijan                                            9.5                    161
Bahamas                                             479.3                     77
Bahrain                                             378.2                     86
Bangladesh                                        2,073.9                     55
Barbados                                             43.4                    135
Belarus                                             215.3                    102
